slug,name,chem_class,frac_irac
g-l-piraklostrobin,Г/л пираклостробин,,
g-l-propikonazol,Г/л пропиконазол,,
g-l-protiokonazol,Г/л протиоконазол,,
g-l-tebukonazol,Г/л тебуконазол,,
g-l-fenmedifama,Г/л фенмедифама,,
g-l-fenoksaprop-p-etil,Г/л феноксапроп-п-этил,,
g-l-fludioksanil,Г/л флудиоксанил,,
g-l-fludioksonil,Г/л флудиоксонил,,
g-l-hizalofop-p-etil,Г/л хизалофоп-п-этил,,
g-l-hlorantraniliprol,Г/л хлорантранилипрол,,
g-l-tsiprokonazol,Г/л ципроконазол,,
galoksifop-p-metil,Галоксифоп-п-метил,,
galoksifop-r-metil,Галоксифоп-р-метил,,
gamma-tsigalotrin,Гамма-цигалотрин,,
geksitiazoks,Гекситиазокс,,
gibberellinovaya-kislota-a3,Гиббереллиновая кислота а3,,
gibberellinovaya-kislota-a4,Гиббереллиновая кислота а4,,
gibberellinovye-kisloty-a4,Гиббереллиновые кислоты а4,,
gibberellinovye-kisloty-a4-a7,"Гиббереллиновые кислоты а4, а7",,
gibberellinovyh-kislot-natrievye-soli,Гиббереллиновых кислот натриевые соли,,
gidroksikorichnaya-kislota,Гидроксикоричная кислота,,
gimeksazol,Гимексазол,,
glifosat,Глифосат,,
glutaminovaya-kislota-2,Глутаминовая кислота,,
glyufosinat-ammoniy,Глюфосинат аммоний,,
gribov-trichoderma-veride-shtamm-471,"Грибов trichoderma veride, штамм 471",,
guminovye-kisloty,Гуминовые кислоты,,
guminovye-kisloty-natrievyh-soley,Гуминовые кислоты натриевых солей,,
guminovyh-kislot-kalievye-soli,Гуминовых кислот калиевые соли,,
daminozid,Даминозид,,
deltametrin,Дельтаметрин,,
desmedifam,Десмедифам,,
desmedifam-chzhangsu-gud-harvest-veyn-agrokemikal-ko-ltd,"Десмедифам) чжангсу гуд харвест вейн агрокемикал ко., лтд.",,
desmedifama,Десмедифама,,
diazinon,Диазинон,,
digidrokvertsetin,Дигидрокверцетин,,
dikamba,Дикамба,,
dikvat,Дикват,,
dikvat-dibromida,Дикват дибромида,,
dikvata-dibromida,Диквата дибромида,,
diklosulam,Диклосулам,,
dimetenamid-r,Диметенамид-р,,
dimetoat,Диметоат,,
dimetomorf,Диметоморф,,
dimoksistrobin,Димоксистробин,,
dinitril-schavelevoy-kisloty,Динитрил щавелевой кислоты,,
dioksid-kremniya,Диоксид кремния,,
diterpenovye-spirty-i-uglevodorody,Дитерпеновые спирты и углеводороды,,
ditianon,Дитианон,,
difenokonazol,Дифеноконазол,,
difenonokonazol,Дифеноноконазол,,
diflovidazin,Дифловидазин,,
diflubenzuron,Дифлубензурон,,
diflufenzopir,Дифлуфензопир,,
diflyufenikan,Дифлюфеникан,,
dodin,Додин,,
doliholid,Долихолид,,
e-e-8-10-dodekadien-1-ol,"Е,е-8,10-додекадиен-1-ол",,
e-8-dodetsenil-atsetat,Е-8-додеценил ацетат,,
zeta-tsipermetrin,Зета-циперметрин,,
zoksamid,Зоксамид,,
izoksadifen-etil,Изоксадифен-этил,,
izoksadifen-etila,Изоксадифен-этила,,
izoksaflyutol,Изоксафлютол,,
izolyata-mg-l-pepino-mosaic-virus-shtamm-vc1,Изолята мг/л pepino mosaic virus штамм vc1,,
izolyata-mg-l-pepino-mosaic-virus-shtamm-vx1,Изолята мг/л pepino mosaic virus штамм vx1,,
izopirazam,Изопиразам,,
izoprotiolan,Изопротиолан,,
izoproturon,Изопротурон,,
imazalil,Имазалил,,
imazamoks,Имазамокс,,
imazapir,Имазапир,,
imazetapir,Имазетапир,,
imidakloprid,Имидаклоприд,,
indoksakarb,Индоксакарб,,
ipkonazol,Ипконазол,,
iprodion,Ипродион,,
ipflufenokvin,Ипфлуфеноквин,,
yod,Йод,,
yodosulfuron-metil-natriy,Йодосульфурон-метил-натрий,,
yodosulfuron-metil-natriya,Йодосульфурон-метил-натрия,,
yodosulfuronmetil-natriya,Йодосульфуронметил-натрия,,
kaliy-azotnokislyy,Калий азотнокислый,,
kaliy-fosfornokislyy,Калий фосфорнокислый,,
kaliy-fosfornokislyy-dvuzameschennyy,Калий фосфорнокислый двузамещенный,,
kaltsiya-gidroksid,Кальция гидроксид,,
kaptan,Каптан,,
karbamid,Карбамид,,
karbendazim,Карбендазим,,
karboksin,Карбоксин,,
karbofuran,Карбофуран,,
karfentrazon-etil,Карфентразон-этил,,
kasugamitsin,Касугамицин,,
kvizalofop-p-tefuril,Квизалофоп-п-тефурил,,
kvinmerak,Квинмерак,,
kislota-bornaya,Кислота борная,,
kisloty-galoksifop-p-metila,Кислоты галоксифоп-п-метила,,
kletodim,Клетодим,,
klodinafop-propargil,Клодинафоп-пропаргил,,
klokvintoset-meksil,Клоквинтосет-мексил,,
klokvintoset-meksila,Клоквинтосет-мексила,,
klomazon,Кломазон,,
klopiralid,Клопиралид,,
klotianidin,Клотианидин,,
klofentezin,Клофентезин,,
kodlemon,Кодлемон,,
kolloidnoe-serebro,Коллоидное серебро,,
kompleks-polioksinov,Комплекс полиоксинов,,
krezoksim-metil,Крезоксим-метил,,
lenatsil,Ленацил,,
limonen,Лимонен,,
lipo-hitooligosaharidy,Липо-хитоолигосахариды,,
lyufenuron,Люфенурон,,
lyambda-tsigalotrin,Лямбда-цигалотрин,,
mtspa,МЦПА,,
magniy-azotnokislyy,Магний азотнокислый,,
magniy-sernokislyy,Магний сернокислый,,
magniya-fosfid,Магния фосфид,,
makrolidnyytilozinovyy-kompleks,Макролидныйтилозиновый комплекс,,
malation,Малатион,,
maleinovyy-gidrazid,Малеиновый гидразид,,
maltodekstrin,Мальтодекстрин,,
mandipropamid,Мандипропамид,,
mankotseb,Манкоцеб,,
maslo-nima,Масло нима,,
maslo-chaynogo-dereva,Масло чайного дерева,,
matrin,Матрин,,
medi-gidroksid,Меди гидроксид,,
medi-gidrookis,Меди гидроокись,,
medi-oksihlorid,Меди оксихлорид,,
medi-sulfat,Меди сульфат,,
medi-hlorokis,Меди хлорокись,,
med-oksihlorid,Медь оксихлорид,,
mezosulfuron-metil,Мезосульфурон-метил,,
mezotrion,Мезотрион,,
melaminovaya-sol-bis-fosfinovoy-kisloty,Меламиновая соль бис фосфиновой кислоты,,
mepikvat-hlorid,Мепикват-хлорид,,
metazahlor,Метазахлор,,
metalaksil,Металаксил,,
metaldegid,Метальдегид,,
metamitron,Метамитрон,,
metamitron-chzhangsu-gud-harvest-veyn-agrokemikal-ko-ltd,"Метамитрон) чжангсу гуд харвест вейн агрокемикал ко., лтд.",,
metamifop,Метамифоп,,
metilbromid,Метилбромид,,
metiram,Метирам,,
metkonazol,Метконазол,,
metomil,Метомил,,
metrafenon,Метрафенон,,
metribuzin,Метрибузин,,
metsulfuron-metil,Метсульфурон-метил,,
mefenoksam,Мефеноксам,,
mefenoksama,Мефеноксама,,
mefenpir-dietil,Мефенпир-диэтил,,
mefenpir-dietila,Мефенпир-диэтила,,
mefentriflukonazol,Мефентрифлуконазол,,
monokaliyfosfat,Монокалийфосфат,,
n-tetradetsil-atsetat,Н-тетрадецил ацетат,,
napropamid,Напропамид,,
natrievaya-sol-bis-fosfinovoy-kisloty,Натриевая соль бис фосфиновой кислоты,,
natrievaya-sol-gibberellinovaya-kislota,Натриевая соль гиббереллиновая кислота,,
nikosulfuron,Никосульфурон,,
nikotin,Никотин,,
novaluron,Новалурон,,
oksadiksil,Оксадиксил,,
oksamil,Оксамил,,
oksatiapiprolin,Оксатиапипролин,,
oksifluorfen,Оксифлуорфен,,
ortokrezoksiuksusnoy-kisloty,Ортокрезоксиуксусной кислоты,,
ortokrezoksiuksusnoy-kisloty-trietanolammonievaya-sol,Ортокрезоксиуксусной кислоты триэтаноламмониевая соль,,
paklobutrazol,Паклобутразол,,
paraoksibenzoynye-kisloty,Параоксибензойные кислоты,,
pelargonovaya-kislota,Пеларгоновая кислота,,
pendimetalin,Пендиметалин,,
penkonazol,Пенконазол,,
penoksulam,Пеноксулам,,
pentiopirad,Пентиопирад,,
penflufen,Пенфлуфен,,
pentsikuron,Пенцикурон,,
permetrin,Перметрин,,
pidiflumetofen,Пидифлуметофен,,
pikloram,Пиклорам,,
pikoksistrobin,Пикоксистробин,,
pimetrozin,Пиметрозин,,
pinoksaden,Пиноксаден,,
pirazosulfuron-etil,Пиразосульфурон-этил,,
piraklostrobin,Пираклостробин,,
piraklostrobina,Пираклостробина,,
piraflufen-etil,Пирафлуфен-этил,,
piretriny-naturalnye-maslyanyy-ekstrakt,Пиретрины натуральные масляный экстракт,,
piridaben,Пиридабен,,
piridat,Пиридат,,
pirimetanil,Пириметанил,,
pirimifos-metil,Пиримифос-метил,,
piriproksifen,Пирипроксифен,,
piroksasulfon,Пироксасульфон,,
piroksulam,Пироксулам,,
poli-beta-gidroksimaslyanaya-kislota,Поли-бета-гидроксимасляная кислота,,
poligeksametilenbiguanid-gidrohlorid,Полигексаметиленбигуанид гидрохлорид,,
polidiallildimetilammoniy-hlorid,Полидиаллилдиметиламмоний хлорид,,
polidimetildiallilammoniya-hlorid,Полидиметилдиаллиламмония хлорид,,
polietilenglikol-1500,Полиэтиленгликоль-1500,,
polietilenglikol-400,Полиэтиленгликоль-400,,
polietilenoksidy,Полиэтиленоксиды,,
proantotsianidiny,Проантоцианидины,,
progeksadion-kaltsiya,Прогексадион кальция,,
prokvinazid,Проквиназид,,
prometrin,Прометрин,,
propakvizafop,Пропаквизафоп,,
propamokarb,Пропамокарб,,
propamokarb-gidrohlorid,Пропамокарб гидрохлорид,,
propamokarb-gidrohlorid-2,Пропамокарб-гидрохлорид,,
propargit,Пропаргит,,
propizohlor,Пропизохлор,,
propikonazol,Пропиконазол,,
propikonazola,Пропиконазола,,
propineb,Пропинеб,,
prosulfokarb,Просульфокарб,,
prosulfuron,Просульфурон,,
protiokonazala,Протиоконазала,,
protiokonazol,Протиоконазол,,
prohloraz,Прохлораз,,
rimsulfuron,Римсульфурон,,
s-metolahlor,С-метолахлор,,
s-metolahlor-chzhangsu-gud-harvest-veyn-agrokemikal-ko-ltd,"С-метолахлор) чжангсу гуд харвест вейн агрокемикал ко., лтд.",,
s-metolahlora,С-метолахлора,,
sedaksan,Седаксан,,
sedaksana,Седаксана,,
sera,Сера,,
spinosad,Спиносад,,
spirodiklofen,Спиродиклофен,,
spiroksamin,Спироксамин,,
spiromezifen,Спиромезифен,,
spirotetramat,Спиротетрамат,,
sulfometuron-metil,Сульфометурон-метил,,
sulfometuron-metila-kislota,Сульфометурон-метила кислота,,
tau-flyuvalinat,Тау-флювалинат,,
tebukonazol,Тебуконазол,,
tebukonazola,Тебуконазола,,
tebufenpirad,Тебуфенпирад,,
tembotrion,Темботрион,,
terbutilazin,Тербутилазин,,
tetrakonazol,Тетраконазол,,
teflutrin,Тефлутрин,,
tiabendazol,Тиабендазол,,
tiakloprid,Тиаклоприд,,
tiametoksam,Тиаметоксам,,
tiamin,Тиамин,,
tienkarbazon-metil,Тиенкарбазон-метил,,
tiofanat-metil,Тиофанат - метил,,
tiofanat-metil-2,Тиофанат -метил,,
tiram,Тирам,,
tifensulfuron-metil,Тифенсульфурон-метил,,
topramezon,Топрамезон,,
triadimenol,Триадименол,,
triadimefon,Триадимефон,,
triasulfuron,Триасульфурон,,
tribenuron-metil,Трибенурон-метил,,
trineksapak-etil,Тринексапак-этил,,
triterpenovye-kisloty,Тритерпеновые кислоты,,
tritikonazol,Тритиконазол,,
trifloksistrobin,Трифлоксистробин,,
triflusulfuron-metil,Трифлусульфурон-метил,,
trietanolammonievaya-sol-ortokrezoksiuksusnoy-kisloty,Триэтаноламмониевая соль ортокрезоксиуксусной кислоты,,
famoksadon,Фамоксадон,,
fenazahin,Феназахин,,
fenamidon,Фенамидон,,
fengeksamid,Фенгексамид,,
fenitrotion,Фенитротион,,
fenmedifam,Фенмедифам,,
fenmedifama,Фенмедифама,,
fenoksaprop-p-etil,Феноксапроп-п-этил,,
fenoksikarb,Феноксикарб,,
fenpiroksimat,Фенпироксимат,,
fenpropidin,Фенпропидин,,
fenpropimorf,Фенпропиморф,,
fipronil,Фипронил,,
fitobakteriomitsin,Фитобактериомицин,,
flavonoidy-eli,Флавоноиды ели,,
flonikamid,Флоникамид,,
florasulam,Флорасулам,,
florasulama,Флорасулама,,
