regulation_id,crop_slug,crop,condition
158,soya,соя,
159,raps,рапс,
160,arbuz-dynya,арбуз / дыня,
161,ogurets,огурец,открытый грунт
162,tomat,томат,открытый грунт
163,perets,перец,открытый грунт
164,kartofel,картофель,
165,yablonya,яблоня,
166,vinograd,виноград,
167,lesnye-nasazhdeniya,лесные насаждения,
167,hvoynye,"хвойные (туя, ель, можжевельник)",
168,lesnye-nasazhdeniya,лесные насаждения,
168,hvoynye,"хвойные (туя, ель, можжевельник)",
169,pastbischa-i-luga,пастбища и луга,
170,pastbischa-i-luga,пастбища и луга,
171,soya,соя,
172,zernobobovye,"зернобобовые (нут, чечевица, люпин, бобы)",
172,soya,соя,
173,podsolnechnik,подсолнечник,
174,kukuruza,кукуруза,
175,goroh-fasol,горох / фасоль,
176,raps,рапс,
177,ogorod,огород (общее),
178,arbuz-dynya,арбуз / дыня,
179,tomat,томат,открытый грунт
180,yablonya,яблоня,
181,vishnya-chereshnya,вишня / черешня,
182,vinograd,виноград,
183,kartofel,картофель,
184,smorodina,смородина,
185,luk,лук,
186,len,лен,
187,podsolnechnik,подсолнечник,
188,yablonya,яблоня,
189,podsolnechnik,подсолнечник,
190,soya,соя,
191,yablonya,яблоня,
192,lesnye-nasazhdeniya,лесные насаждения,
192,hvoynye,"хвойные (туя, ель, можжевельник)",
193,kartofel,картофель,
194,kapusta,капуста,
195,ayva,айва,
195,grusha,груша,
195,yablonya,яблоня,
196,grusha,груша,
196,yablonya,яблоня,
197,vishnya-chereshnya,вишня / черешня,
197,sliva,слива,
198,vinograd,виноград,
199,ogurets,огурец,защищённый грунт
200,roza,роза,защищённый грунт
201,roza,роза,открытый грунт
202,tsvety,цветы (общее),открытый грунт
203,lesnye-nasazhdeniya,лесные насаждения,
203,oreh,"орех (грецкий, фундук)",
203,siren-dekorativnye-kustarniki,сирень / декоративные кустарники,
204,lesnye-nasazhdeniya,лесные насаждения,
204,oreh,"орех (грецкий, фундук)",
204,siren-dekorativnye-kustarniki,сирень / декоративные кустарники,
205,lesnye-nasazhdeniya,лесные насаждения,
205,oreh,"орех (грецкий, фундук)",
205,siren-dekorativnye-kustarniki,сирень / декоративные кустарники,
206,lesnye-nasazhdeniya,лесные насаждения,
206,oreh,"орех (грецкий, фундук)",
206,siren-dekorativnye-kustarniki,сирень / декоративные кустарники,
207,lesnye-nasazhdeniya,лесные насаждения,
207,oreh,"орех (грецкий, фундук)",
207,siren-dekorativnye-kustarniki,сирень / декоративные кустарники,
208,lesnye-nasazhdeniya,лесные насаждения,
208,oreh,"орех (грецкий, фундук)",
208,siren-dekorativnye-kustarniki,сирень / декоративные кустарники,
209,lesnye-nasazhdeniya,лесные насаждения,
209,hvoynye,"хвойные (туя, ель, можжевельник)",
210,lesnye-nasazhdeniya,лесные насаждения,
210,hvoynye,"хвойные (туя, ель, можжевельник)",
